batch_size,seq_length,prefill_time,generation_time,decode_time,decode_tokens,sys_decode_tps,decode_tps_per_gpu,avg_decode_latency,decode_tps_per_user
16,4096,2168.9988,2305.3193,136.3206,121,14201.8199,887.6137,1.1266,887.6137
16,8192,1395.9011,2978.8633,1582.9622,119,1202.8083,75.1755,13.3022,75.1755
16,16384,2635.6335,4280.8594,1645.2258,115,1118.3875,69.8992,14.3063,69.8992
32,4096,1181.8632,2915.092,1733.2289,119,2197.0555,137.316,14.5649,68.658
32,8192,2422.7717,4117.2305,1694.4587,115,2171.785,135.7366,14.7344,67.8683
32,16384,5380.0928,6816.9067,1436.814,107,2383.0503,148.9406,13.4282,74.4703
64,4096,2337.1389,4000.9163,1663.7773,115,4423.6688,276.4793,14.4676,69.1198
64,8192,4909.8159,6395.7686,1485.9526,107,4608.4914,288.0307,13.8874,72.0077
64,16384,10689.8555,12024.8145,1334.959,91,4362.6809,272.6676,14.6699,68.1669
128,4096,4666.5649,6320.8921,1654.3271,107,8278.8945,517.4309,15.461,64.6789
128,8192,9771.3857,11126.1787,1354.793,91,8597.6236,537.3515,14.8878,67.1689
128,16384,21567.416,22551.2852,983.8691,59,7675.8175,479.7386,16.6757,59.9673
